Reg_no,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10,Subject11,Subject12
NCE16EC052,CY100(C),BE100(F),BE10104(F),BE103(F),ME100(F)
NCE16EC053,BE100(B)
NCE16EC054,BE10104(F)
NCE16EC055,MA101(F),CY100(F),BE100(F),BE10104(F),MA102(C)
NCE16EC057,MA101(F),BE100(F),BE110(F),BE10104(F),ME100(F),EE100(F),MA102(B)
NCE16EC058,BE10104(F)
NCE16MC001,MA101(Absent),BE100(F),EE100(C),EC100(C)
NCE16MC004,BE100(C),BE10102(C),EE100(C),EC100(C)
NCE16MC005,BE100(C),BE102(B)
NCE16MC006,PH100(F),CY100(F),BE10102(F),BE103(A+),CE100(F),EC100(F),MA102(F)
NCE16MC007,MA101(F),PH100(F),BE100(F),BE110(B),EE100(F),EC100(F),MA102(F)
NCE16MC008,BE100(B)
NCE16MC010,EC100(F)
NCE16MC011,BE100(F),BE10102(C),EE100(C),EC100(F)
NCE16MC014,BE100(C)
NCE16MC015,MA101(F),BE100(F),BE110(B),EE100(C),EC100(F)
NCE16MC018,BE10102(B)
NCE16MC020,PH100(F),CY100(F),BE100(F),BE110(C),BE10102(F),BE103(F),EE100(F),EC100(F)
NCE16MC022,MA101(Absent),PH100(Absent),CY100(F),BE100(Absent),BE110(F),BE10102(F),BE103(F),CE100(F),EE100(F),EC100(F),MA102(Absent),BE102(P)
NCE16MC025,MA101(F),PH100(F),CY100(F),BE100(F),EE100(F),EC100(F)
NCE16MC027,BE10102(B)
NCE16MC028,MA101(F),EE100(C)
NCE16MC030,BE100(F),EE100(B),EC100(F)
NCE16MC031,BE110(B+)
NCE16MC032,BE100(C),EE100(C)
NCE16MC033,MA101(F),PH100(F),BE100(F),EE100(C),EC100(F),MA102(F)
NCE16MC036,BE100(B)
NCE16MC037,EE100(C),EC100(F),MA102(C)
NCE16MC038,MA101(F),PH100(F),CY100(F),BE100(F),EE100(F),EC100(P),MA102(F)
NCE16MC039,EE100(B),EC100(F)
NCE16MC041,BE100(B)
NCE16MC042,BE100(F),EC100(C)
NCE16MC043,BE100(B)
NCE16MC044,MA101(C),BE100(P)
NCE16MC045,MA101(C),PH100(F),CY100(F),BE100(F),CE100(P),EE100(F)
NCE16MC048,MA101(F),PH100(F),CY100(F),BE100(F),BE10102(P),EE100(F),EC100(F),MA102(F)
NCE16MC049,BE100(F),BE10102(C)
NCE16EE002,BE100(B),MA102(C),BE102(B)
NCE16EE003,MA101(F),PH100(F),CY100(F),BE100(C),BE110(B+),BE10103(F),EC100(P),MA102(P)
NCE16EE004,PH100(F),BE100(F),BE110(B),BE10103(F),CE100(B),EC100(F),MA102(F)
NCE16EE005,BE100(F),BE110(F),BE10103(F),CE100(F)
NCE16EE006,MA101(F),CY100(C),BE100(F),BE110(F),BE10103(F),EC100(P),MA102(F)
NCE16EE007,BE110(F)
NCE16EE008,BE100(F),BE110(C),EC100(P)
NCE16EE009,BE100(F)
NCE16EE010,CY100(F),BE110(A)
NCE16EE012,BE110(Absent)
NCE16EE013,CY100(Absent),BE110(Absent),CE100(Absent)
NCE16EE016,PH100(F),BE100(P),BE110(B+),BE10103(F)
NCE16EE020,BE100(C),ME100(F),EC100(F)
NCE16EE021,BE100(F),BE110(F),BE10103(F)
NCE16EE023,BE100(C),ME100(F),EC100(C)
NCE16EE025,PH100(F),BE100(F),BE110(F),BE10103(F),ME100(F),EC100(C),MA102(F)
NCE16EE026,PH100(F),CY100(P),BE100(B),BE10103(C),EC100(C)
NCE16EE027,MA101(F),PH100(F),CY100(C),BE100(F),BE110(F),BE10103(F),ME100(F),EC100(F),MA102(P)
NCE16EE028,MA101(F),CY100(F),BE100(F),BE110(B),BE10103(F),ME100(F),EC100(F),MA102(F)
NCE16EE029,MA101(Absent),BE10103(Absent)
NCE16EE030,MA101(F),PH100(F),CY100(F),BE100(F),BE110(F),BE10103(F),CE100(F),ME100(F),MA102(F)
NCE16EE031,PH100(F),CY100(C),BE100(F),BE110(F),MA102(P)
NCE16EE032,MA101(F),CY100(F),BE100(C),BE110(B),BE10103(F)
NCE16EE033,CY100(F),BE110(F)
NCE16EE035,BE110(F)
NCE16EE036,BE100(C),BE110(A)
NCE16EE037,PH100(F),BE100(F),BE110(B),BE10103(F),ME100(F),EC100(F),MA102(F)
NCE16EE038,BE100(B+)
NCE16EE040,BE100(B+)
NCE16EE042,BE110(F)
NCE16EE044,MA101(F),CY100(F),BE100(F),BE110(B),ME100(F),EC100(P)
NCE16EE045,BE103(B),ME100(F),

